response time,down,up
1503,27.395,18.305
1351,25.316,19.222
1579,27.181,16.426
1186,29.217,11.841
1349,5.761,4.056
1628,9.299,3.588
1333,6.231,3.969
1666,7.426,2.943
1506,13.389,2.778
1955,29.494,22.165
1200,29.851,22.648
1624,27.8,24.713
1256,29.149,27.644
1467,29.148,23.613
1160,26.834,15.869
1516,30.139,24.767
1156,29.018,21.088
1630,28.362,19.416
1295,30.507,22.719
1516,27.186,21.719
1197,28.33,20.226
2464,28.463,24.771
2306,28.749,22.271
1557,30.083,19.709
1569,6.666,6.108
1712,16.507,10.748
3653,27.846,24.391
1182,25.383,13.203
2173,27.667,24.882
1283,27.069,21.4
